"id","breedtegraad","lengtegraad","weergavenaam","plaatsnaam","landcode","landnaam","status","status_uitleg","statusvolgorde","markerkleur","actief","oppervlakte_ha","oppervlakte","markergrootte","ontstaansdatum","ontstaansdatum_iso","duur_dagen","duur","detecties_24u","detecties_7d","uren_sinds_update","brandgevaar","status_bijgewerkt","bron_bijgewerkt_utc","opgehaald_utc","bron","bron_url"
"592173",41.479,13.9875,"San Vittore del Lazio","San Vittore del Lazio","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",1,"1 hectare",0.35,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.808Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592382",42.7967,1.1485,"Seix","Seix","FR","Frankrijk","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",9,"9 hectare",0.83,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,21,"Laag","4 augustus 2026 om 07:42","2026-08-04T05:42:33.808Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592432",42.9968,23.0773,"Bosbrand in Bulgarije",,"BG","Bulgarije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",8,"8 hectare",0.8,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,20,"Gemiddeld","4 augustus 2026 om 07:42","2026-08-04T05:42:33.808Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591771",38.951,22.398,"Bosbrand in Griekenland",,"EL","Griekenland","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",10,"10 hectare",0.85,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,23,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.809Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591774",38.7819,21.1778,"Bosbrand in Griekenland",,"EL","Griekenland","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",49,"49 hectare",1.2,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,23,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.809Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592021",37.8528,15.2299,"Gaggi","Gaggi","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",9,"9 hectare",0.83,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.809Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592475",40.4106,9.0087,"Bottidda","Bottidda","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",57,"57 hectare",1.23,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,16,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.809Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592294",40.4055,9.0104,"Bottidda","Bottidda","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",4,"4 hectare",0.65,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.810Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592300",44.3288,6.1216,"Bayons","Bayons","FR","Frankrijk","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",7,"7 hectare",0.77,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.810Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592045",38.6135,16.4966,"Sant'Andrea Apostolo dello Ionio","Sant'Andrea Apostolo dello Ionio","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",0,"0 hectare",0.1,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.810Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"586303",45.0645,13.9384,"Bosbrand in Kroatië",,"HR","Kroatië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",41,"41 hectare",1.16,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,62,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.810Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592425",45.4116,13.8294,"Bosbrand in Kroatië",,"HR","Kroatië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",26,"26 hectare",1.06,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,20,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.811Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592457",38.7573,27.7621,"Manisa","Manisa","TR","Turkije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",45,"45 hectare",1.18,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,19,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.811Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"586288",38.4153,21.965,"Bosbrand in Griekenland",,"EL","Griekenland","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",462,"462 hectare",1.68,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,62,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.811Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592093",40.33,17.6365,"Manduria","Manduria","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",15,"15 hectare",0.94,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.811Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591769",39.2862,22.4054,"Bosbrand in Griekenland",,"EL","Griekenland","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",35,"35 hectare",1.12,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,23,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.811Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592369",32.7383,35.7932,"Bosbrand in Jordanië",,"JO","Jordanië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",77,"77 hectare",1.29,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,21,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.812Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
